ticker,sub_industry,role
XOM,integrated_major,energy
CVX,integrated_major,energy
COP,integrated_major,energy
EOG,upstream,energy
OXY,upstream,energy
DVN,upstream,energy
FANG,upstream,energy
AR,upstream_gas,energy
EQT,upstream_gas,energy
VLO,refiner,energy
MPC,refiner,energy
PSX,refiner,energy
DINO,refiner,energy
KMI,midstream,energy
WMB,midstream,energy
OKE,midstream,energy
EPD,midstream,energy
ET,midstream,energy
SLB,services,energy
HAL,services,energy
BKR,services,energy
NOV,services,energy
XLE,sector_etf,factor
SPY,market_etf,factor
